disaster.event,user.anon,date,latitude,longitude.anon,user_date_freq,days
42_AuFire2,5651,2013/10/27,151.1912615,-32.00760141,4,20
42_AuFire2,5651,2013/10/28,151.1941116,-32.00305791,5,21
42_AuFire2,5652,2013/10/8,150.6972033,-31.90114479,8,1
42_AuFire2,5652,2013/10/9,150.9588263,-31.95062402,6,2
42_AuFire2,5652,2013/10/10,150.6971787,-31.90115514,3,3
42_AuFire2,5652,2013/10/11,150.6975137,-31.90131571,1,4
42_AuFire2,5652,2013/10/12,150.6912633,-31.86626117,4,5
42_AuFire2,5652,2013/10/13,150.6974533,-31.90136885,10,6
42_AuFire2,5652,2013/10/14,150.6725981,-31.89481471,4,7
42_AuFire2,5652,2013/10/15,150.6975599,-31.90132422,5,8
42_AuFire2,5652,2013/10/16,150.6973476,-31.90126223,9,9
42_AuFire2,5652,2013/10/17,150.7578912,-31.87476817,10,10
42_AuFire2,5652,2013/10/18,150.9726606,-31.97704365,4,11
42_AuFire2,5652,2013/10/19,150.6866577,-31.87348876,4,12
42_AuFire2,5652,2013/10/20,150.6970905,-31.9012523,5,13
42_AuFire2,5652,2013/10/21,150.6971932,-31.90149701,9,14
42_AuFire2,5652,2013/10/22,150.6875747,-31.90222845,6,15
42_AuFire2,5652,2013/10/23,150.687518,-31.90203535,4,16
42_AuFire2,5652,2013/10/24,150.6970509,-31.90122045,6,17
42_AuFire2,5652,2013/10/26,150.6975248,-31.90099745,7,19
42_AuFire2,5652,2013/10/27,150.6912661,-31.86604025,5,20
42_AuFire2,5652,2013/10/29,150.6971891,-31.90115992,8,22
42_AuFire2,5652,2013/10/30,150.6973035,-31.90115772,12,23
42_AuFire2,5652,2013/10/31,150.6973047,-31.90115737,1,24
42_AuFire2,5652,2013/11/1,150.696711,-31.90111325,1,25
42_AuFire2,5652,2013/11/6,150.6972041,-31.90116701,10,30
42_AuFire2,5652,2013/11/7,150.69721,-31.90115807,8,31
42_AuFire2,5652,2013/11/8,150.6965811,-31.90103665,6,32
42_AuFire2,5652,2013/11/9,150.697318,-31.9011364,6,33
42_AuFire2,5653,2013/10/14,151.191671,-32.03648751,2,7
42_AuFire2,5653,2013/10/15,151.1448227,-31.91367853,1,8
42_AuFire2,5653,2013/10/17,151.1453104,-31.91392939,2,10
42_AuFire2,5653,2013/10/18,151.1453104,-31.91392939,2,11
42_AuFire2,5653,2013/10/20,151.1861309,-31.90990612,1,13
42_AuFire2,5653,2013/10/21,151.1453104,-31.91392939,3,14
42_AuFire2,5653,2013/10/22,151.1452997,-31.9138224,1,15
42_AuFire2,5653,2013/10/24,151.1879717,-31.94747714,1,17
42_AuFire2,5653,2013/10/26,151.1881294,-31.9474631,1,19
42_AuFire2,5653,2013/11/6,151.1861309,-31.90990612,2,30
42_AuFire2,5653,2013/11/8,151.195572,-31.90799651,1,32
42_AuFire2,5653,2013/11/9,151.1873639,-31.90313161,2,33
42_AuFire2,5654,2013/10/9,151.1669747,-31.84931029,2,2
42_AuFire2,5654,2013/10/11,151.1674844,-31.84949993,1,4
42_AuFire2,5654,2013/10/13,151.1673028,-31.84934819,2,6
42_AuFire2,5654,2013/10/19,151.1673047,-31.849402,1,12
42_AuFire2,5654,2013/10/20,151.1672702,-31.84944514,1,13
42_AuFire2,5654,2013/10/21,151.1672412,-31.84936612,1,14
42_AuFire2,5654,2013/10/23,151.1792501,-32.04794225,3,16
42_AuFire2,5654,2013/10/26,151.1672576,-31.84937418,1,19
42_AuFire2,5654,2013/10/28,151.179101,-32.0479079,1,21
42_AuFire2,5655,2013/10/8,150.9551084,-32.02887381,4,1
42_AuFire2,5655,2013/10/9,151.0954821,-31.98761991,3,2
42_AuFire2,5655,2013/10/11,150.9580439,-32.03554191,1,4
42_AuFire2,5655,2013/10/12,151.0256181,-32.02318731,1,5
42_AuFire2,5655,2013/10/14,151.196628,-32.00668011,1,7
42_AuFire2,5655,2013/10/15,151.1896334,-32.00359761,4,8
42_AuFire2,5655,2013/10/16,151.0987425,-31.99011111,2,9
42_AuFire2,5655,2013/10/17,150.9449055,-32.01838111,1,10
